snap,cloud,time_value,c_coord_X,c_coord_Y,c_coord_Z,Peak_Density
376,cloud-2,4.325,135.50114594667397,214.98280531073092,28.34277817616114,6433.534664580077
376,cloud-3,4.325,105.84534467283048,204.80464456965225,36.75581393591129,18652.790546239496
376,cloud-4,4.325,138.41350431686794,213.1856279957653,28.84579889270121,9026.71333080239
376,cloud-5,4.325,132.9850607913164,215.71763203245325,27.13496126624976,7863.794195221819
375,cloud-0,4.3125,228.2857337477643,181.12775312763705,69.56982034284478,76968.916473226
375,cloud-1,4.3125,210.1859790168227,212.43701083070292,64.34080231147968,33199.33868705951
375,cloud-2,4.3125,135.457755633268,214.99824674298497,28.37519526082535,6181.417740479821
375,cloud-3,4.3125,105.85378145938954,204.80130088905807,36.75680908428583,16566.646079021775
375,cloud-4,4.3125,138.38779625255432,213.19852540262906,28.860855055376064,9118.335961785771
375,cloud-5,4.3125,132.97531525846767,215.74335383001022,27.172347660527507,7686.085353986572
374,cloud-0,4.3,228.30706139093675,181.17006299605407,69.55385382721445,67710.2492619384
374,cloud-1,4.3,210.11829776096852,212.48429569512365,64.30458643478036,28817.214221536797
374,cloud-2,4.3,135.33094911720084,215.08161513883948,28.51192284193536,6147.374995351465
374,cloud-3,4.3,105.85985830931702,204.81012866925124,36.76214618742067,14672.22531021638
374,cloud-4,4.3,138.36534246662612,213.2100267188287,28.865989224521897,8592.02479538933
374,cloud-5,4.3,132.90635172841453,215.7202249910382,27.192393895484187,7491.275709812754
373,cloud-0,4.2875000000000005,228.32197304974167,181.21026617099653,69.54143153480484,62583.614501318676
373,cloud-1,4.2875000000000005,210.10765148548364,212.5226066229814,64.30727737701311,25271.44401063469
373,cloud-2,4.2875000000000005,135.29094529680577,215.09620359260077,28.543178510258016,5935.16903538711
373,cloud-3,4.2875000000000005,105.89904155409005,204.90107673666927,36.86995073892369,16064.60435013761
373,cloud-4,4.2875000000000005,138.346877131653,213.21006789434813,28.88781216626481,8117.230444056581
373,cloud-5,4.2875000000000005,132.8706787255887,215.7371613412004,27.24139758842537,7614.784906092916
372,cloud-0,4.275,228.33881400819257,181.24400580562357,69.53416037237841,55005.569198086196
372,cloud-1,4.275,210.11230207772758,212.5556527046352,64.31470634331177,23662.23504192944
372,cloud-2,4.275,135.24026461467417,215.1124939419613,28.539172374769862,5909.993268791919
372,cloud-3,4.275,105.91087807369829,204.8980944397333,36.861884322951056,17438.549473106374
372,cloud-4,4.275,138.46736107740142,213.20253142320865,29.083983149171672,7428.966191468021
372,cloud-5,4.275,132.85896606903077,215.76113081300454,27.280255678249773,7642.836293191724
371,cloud-0,4.2625,228.32751670571292,181.28206155210097,69.55239933755317,51728.75516385829
371,cloud-1,4.2625,210.13008144699933,212.54850553602913,64.38823214926654,24500.746324246873
371,cloud-2,4.2625,135.2079304941244,215.11336278205988,28.560118633827443,5792.969154691524
371,cloud-3,4.2625,105.92303613688378,204.89488697065423,36.85352926479845,18199.891597733837
371,cloud-4,4.2625,138.44608138498674,213.21440030117756,29.084929683714222,7562.614289937771
371,cloud-5,4.2625,132.86847654654719,215.79328145821333,27.288329048632164,7877.369712473118
370,cloud-0,4.25,228.34821807524378,181.32607181028897,69.54405830294415,49898.02787692445
370,cloud-1,4.25,210.11501869206094,212.5838477949835,64.39469515655905,24400.766609520295
370,cloud-2,4.25,135.04023830401485,214.7820198977064,28.40737251944656,5855.23884253678
370,cloud-3,4.25,105.9409453052385,204.88895253213934,36.84100929510082,18008.72560911267
370,cloud-4,4.25,138.42458606874465,213.2273305943873,29.08620329486528,7484.920738151888
370,cloud-5,4.25,132.85820159948184,215.81971395123992,27.327445173313684,8345.347671254183
369,cloud-0,4.2375,228.36853275858266,181.3700463351942,69.51213025225394,46804.510353652295
369,cloud-1,4.2375,210.11398207576622,212.66547619350024,64.29150123061311,22655.819714307912
369,cloud-2,4.2375,135.0149665394271,214.82262793627075,28.43565278694102,6032.652169940807
369,cloud-3,4.2375,105.87660595303524,204.73216242705348,36.82858414738128,19317.427591428674
